date,annualized_returns,cash,daily_pnl,daily_returns,frozen_cash,market_value,pnl,portfolio_value,total_returns,transaction_cost
2016-04-08,-0.057,597903.43,13800.0,0.014,0.0,-918720.0,-15288.57,984711.43,-0.015,60.57
2016-04-11,-0.129,617223.43,-21600.0,-0.022,0.0,-940320.0,-36888.57,963111.43,-0.037,60.57
2016-04-12,-0.103,586983.43,7560.0,0.008,0.0,-932760.0,-29328.57,970671.43,-0.029,60.57
2016-04-13,-0.181,597567.43,-24420.0,-0.025,0.0,-957180.0,-53748.57,946251.43,-0.054,60.57
2016-04-14,-0.445,495713.178,-97846.252,-0.103,0.0,955980.0,-151594.822,848405.178,-0.152,106.822
2016-04-15,-0.442,466013.178,-60.0,-0.0,0.0,955920.0,-151654.822,848345.178,-0.152,106.822
2016-04-18,-0.644,430178.947,-107711.231,-0.127,0.0,-944400.0,-259366.053,740633.947,-0.259,148.053
2016-04-19,-0.64,362873.947,480.0,0.001,0.0,-943920.0,-258886.053,741113.947,-0.259,148.053
2016-04-20,-0.593,363545.947,25500.0,0.034,0.0,-918420.0,-233386.053,766613.947,-0.233,148.053
2016-04-21,-0.607,399245.947,-10020.0,-0.013,0.0,-928440.0,-243406.053,756593.947,-0.243,148.053
2016-04-22,-0.604,385217.947,-120.0,-0.0,0.0,-928560.0,-243526.053,756473.947,-0.244,148.053
2016-04-25,-0.588,385049.947,3660.0,0.005,0.0,-924900.0,-239866.053,760133.947,-0.24,148.053
2016-04-26,-0.587,390173.947,-1260.0,-0.002,0.0,-926160.0,-241126.053,758873.947,-0.241,148.053
2016-04-27,-0.583,388409.947,360.0,0.0,0.0,-925800.0,-240766.053,759233.947,-0.241,148.053
2016-04-28,-0.575,388913.947,2460.0,0.003,0.0,-923340.0,-238306.053,761693.947,-0.238,148.053
2016-04-29,-0.579,392357.947,-3840.0,-0.005,0.0,-927180.0,-242146.053,757853.947,-0.242,148.053
2016-05-03,-0.595,386981.947,-16860.0,-0.022,0.0,-944040.0,-259006.053,740993.947,-0.259,148.053
2016-05-04,-0.591,363377.947,480.0,0.001,0.0,-943560.0,-258526.053,741473.947,-0.259,148.053
2016-05-05,-0.587,364049.947,540.0,0.001,0.0,-943020.0,-257986.053,742013.947,-0.258,148.053
2016-05-06,-0.549,364805.947,21180.0,0.029,0.0,-921840.0,-236806.053,763193.947,-0.237,148.053
2016-05-09,-0.497,394457.947,24120.0,0.032,0.0,-897720.0,-212686.053,787313.947,-0.213,148.053
2016-05-10,-0.498,428225.947,-1740.0,-0.002,0.0,-899460.0,-214426.053,785573.947,-0.214,148.053
2016-05-11,-0.504,425789.947,-4860.0,-0.006,0.0,-904320.0,-219286.053,780713.947,-0.219,148.053
2016-05-12,-0.508,418985.947,-3900.0,-0.005,0.0,-908220.0,-223186.053,776813.947,-0.223,148.053
2016-05-13,-0.503,413525.947,1260.0,0.002,0.0,-906960.0,-221926.053,778073.947,-0.222,148.053
2016-05-16,-0.501,415289.947,-3480.0,-0.004,0.0,-910440.0,-225406.053,774593.947,-0.225,148.053
2016-05-17,-0.503,410417.947,-2460.0,-0.003,0.0,-912900.0,-227866.053,772133.947,-0.228,148.053
2016-05-18,-0.482,406973.947,10380.0,0.013,0.0,-902520.0,-217486.053,782513.947,-0.217,148.053
2016-05-19,-0.486,421505.947,-3780.0,-0.005,0.0,-906300.0,-221266.053,778733.947,-0.221,148.053
2016-05-20,-0.492,416213.947,-4800.0,-0.006,0.0,-911100.0,-226066.053,773933.947,-0.226,148.053
2016-05-23,-0.489,409493.947,-2160.0,-0.003,0.0,-913260.0,-228226.053,771773.947,-0.228,148.053
2016-05-24,-0.476,406469.947,5880.0,0.008,0.0,-907380.0,-222346.053,777653.947,-0.222,148.053
2016-05-25,-0.473,414701.947,120.0,0.0,0.0,-907260.0,-222226.053,777773.947,-0.222,148.053
2016-05-26,-0.47,414869.947,720.0,0.001,0.0,-906540.0,-221506.053,778493.947,-0.222,148.053
2016-05-27,-0.616,347172.39,-94711.957,-0.122,0.0,909960.0,-316218.01,683781.99,-0.316,192.01
2016-05-30,-0.607,319797.99,780.0,0.001,0.0,910740.0,-315438.01,684561.99,-0.315,192.01
2016-05-31,-0.558,320265.99,32100.0,0.047,0.0,942840.0,-283338.01,716661.99,-0.283,192.01
2016-06-01,-0.559,339525.99,-2100.0,-0.003,0.0,940740.0,-285438.01,714561.99,-0.285,192.01
